Neighbourhood,sqmiles,Arrests,Fire Incidents,Danger rating
Allegheny Center,0.20893682,1227,62,8839.992874
Allegheny West,0.1447943,127,42,3777.77302
Allentown,0.29699827,930,125,7340.110096
Arlington,0.47997549,302,51,1691.753052
Arlington Heights,0.12723371,153,13,2224.253305
Banksville,0.97761942,288,59,898.0999989
Bedford Dwellings,0.1756743,653,43,6164.817506
Beechview,1.45920135,1166,146,1799.614563
Beltzhoover,0.41539974,489,129,4282.621843
Bloomfield,0.70193062,968,170,3800.945455
Bluff,0.32526123,1458,141,8817.527991
Bon Air,0.31483044,260,22,1524.63021
Brighton Heights,1.11702235,1093,153,2348.207267
Brookline,2.08892976,1346,187,1539.544345
California-Kirkbride,0.21689151,304,39,3199.756413
Carrick,1.6695299,2297,283,3070.924336
Central Business District,0.64563198,4238,266,10684.10521
Central Lawrenceville,0.96011221,425,74,1213.399838
Central Northside,0.2596781,850,129,8240.972188
Central Oakland,0.28004652,511,93,5145.573671
Chartiers City,0.13401531,44,17,1596.832481
Chateau,0.38251231,447,41,2240.450771
Crafton Heights,0.75131668,585,84,1896.670256
Crawford-Roberts,0.25134182,807,108,7507.70405
Duquesne Heights,0.61955559,187,40,947.4533189
East Allegheny,0.23491555,2153,130,14698.89924
East Carnegie,0.43345506,48,11,364.5129901
East Hills,0.5405573,1158,154,4991.14525
East Liberty,0.58137897,1848,207,6739.149853
Elliott,0.60589038,650,71,2244.630456
Esplen,0.23111759,198,22,1808.603144
Fairywood,0.96959084,121,26,392.9492568
Fineview,0.24848933,789,48,5106.859115
Friendship,0.10619141,168,32,4595.475284
Garfield,0.45738457,703,109,3920.114752
Glen Hazel,0.45746307,164,20,795.6926447
Greenfield,0.77443557,531,114,2157.700479
Hays,1.74509782,117,24,204.5730594
Hazelwood,1.6052427,1364,244,2369.735119
Highland Park,1.16986009,548,78,1135.178481
Homewood North,0.4325542,1931,182,8671.745645
Homewood South,0.38714814,2044,189,10161.48496
Homewood West,0.19520326,752,61,6977.342489
Knoxville,0.29962465,1300,178,10279.52807
Larimer,0.44518392,865,124,4728.382822
Lincoln Place,0.98153251,222,65,888.4066408
Lincoln-Lemington-Belmar,1.81810116,1318,193,1786.479252
Lower Lawrenceville,0.42994414,262,55,1888.617438
Manchester,0.27904856,458,78,4436.503811
Marshall-Shadeland,1.25407261,1489,141,2311.668381
Middle Hill,0.3051406,919,104,6419.991309
Morningside,0.37460783,185,32,1348.076467
Mount Washington,1.13253078,1413,218,3172.540706
Mt. Oliver,0.10329752,122,11,2245.93969
New Homestead,0.78997174,39,21,315.2011488
North Oakland,0.49700201,433,125,3386.304212
North Shore,0.29702305,791,64,4817.807911
Northview Heights,0.31379713,696,64,4257.527786
Oakwood,0.25238278,80,13,832.0694463
Overbrook,0.83649724,319,57,1062.765013
Perry North,1.20991298,585,108,1376.132026
Perry South,0.90634615,1038,161,2921.621061
Point Breeze,1.00339225,297,70,993.6293608
Point Breeze North,0.30192069,277,49,2540.402249
Polish Hill,0.25616424,162,39,2154.867518
Regent Square,0.1962188,36,9,642.1403046
Ridgemont,0.3576487,37,12,438.9782488
Shadyside,0.92016097,944,183,3014.689919
Sheraden,0.88763301,1255,172,3351.610369
South Oakland,0.48395839,345,92,2613.86108
South Shore,0.23074356,293,23,2266.585468
South Side Flats,0.9243167,3377,260,6466.398368
South Side Slopes,0.72306013,789,102,2501.866615
Spring Garden,0.26710302,213,24,1695.974834
Spring Hill-City View,0.63621632,702,103,2722.344501
Squirrel Hill North,1.22340867,284,130,1294.743154
Squirrel Hill South,2.67660534,808,252,1243.365972
St. Clair,0.31105594,53,13,588.3186156
Stanton Heights,0.73818889,219,57,1068.832125
Strip District,0.60818856,492,61,1811.938061
Summer Hill,0.44189436,74,21,642.6875419
Swisshelm Park,0.47358963,42,16,426.5296096
Terrace Village,0.32464368,292,85,3517.702855
Troy Hill,0.46091418,427,84,2748.884836
Upper Hill,0.31318888,364,44,2567.140953
Upper Lawrenceville,0.40389265,187,51,1725.706076
West End,0.19456581,280,22,2569.824575
West Oakland,0.23352997,311,61,3943.819288
Westwood,0.69044344,222,27,712.5855233
Windgap,0.41693436,123,23,846.656054